question_nl,option1_nl,option2_nl,option3_nl,reason_nl,image_nl
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Onder glibberige omstandigheden neemt de remafstand toe en moet u voorzichtig rijden om een ongeluk te voorkomen. Vergroot de volg afstand tussen u en de auto die voor u rijdt..
                ",https://www.alrawitheorie.nl/storage/questions/November2021/ftsGcXXQl3VRYz6gAPlJ.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Ga naar de rechterkant van de weg en rijd verder met je huidige snelheid.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/KgnN2IgDXUun61mOhfgo.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Laat het gaspedaal los om uw snelheid te minderen bij het invoeren van een curve, waarbij u geen tegenliggers kunt zien. Rijd heel voorzichtig.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/STbr4fx8K8SOTEXsJBiW.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Laat het gaspedaal los om uw snelheid te minderen bij het naderen van de verkeersdrempel en de tegemoetkomende auto.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/syb5qtR7wmzupQcJLC5M.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Verlaag uw snelheid door het gaspedaal los te laten tot de aangegeven snelheidslimiet van 30 km / u wanneer u deze bocht gaat nemen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/Qvzs2lIuRTr6EOFvDDVJ.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Stop om de gewonde man veilig de weg te laten oversteken, want het lijkt erop dat de man u niet heeft gezien.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/dscCOLMlhUADNsMn1o76.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Rem om uw snelheid te minderen. De auto die de aanhanger sleept, heeft een maximumsnelheid van 90 km / u, dus u moet uw snelheid verlagen om achter de auto en de aanhanger te blijven rijden..
                ",https://www.alrawitheorie.nl/storage/questions/November2021/dY0LR3K1J0SSOX1qUwl6.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Rijd door met uw huidige snelheid omdat er geen gevaar voor u is.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/vc9VU45u4YfYZVXWixAA.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Ga door met uw huidige snelheid omdat er geen gevaar is op de weg.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/f7TrOhkUwtycP1nA8Fao.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Haal de fietser niet in, de straat is te druk!. Minder uw snelheid en blijf achter de fietser rijden. Passeer de fietser alleen wanneer het veilig is om dit te doen.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/kF1IDYMoFksgDcEILhh8.jpg
Je rijdt 30 kilometer per uur. Wat moet je doen ?,Remmen,Gas loslaten,Niets,"
                    Rem om de voetgangers de weg te laten oversteken.
                ",https://www.alrawitheorie.nl/storage/questions/November2021/AwGeH7gPwUec4zqdOotl.jpg
